type,startDate,endDate,value
feature_appleStandTime,2023-09-09 12:55:00 +0000,2023-09-09 13:00:00 +0000,4.0
feature_appleStandTime,2023-09-09 12:50:00 +0000,2023-09-09 12:55:00 +0000,4.0
feature_appleStandTime,2023-09-09 12:35:00 +0000,2023-09-09 12:40:00 +0000,3.0
feature_appleStandTime,2023-09-09 12:30:00 +0000,2023-09-09 12:35:00 +0000,2.0
feature_appleStandTime,2023-09-09 12:10:00 +0000,2023-09-09 12:15:00 +0000,2.0
feature_appleStandTime,2023-09-09 12:05:00 +0000,2023-09-09 12:10:00 +0000,5.0
feature_appleStandTime,2023-09-09 12:00:00 +0000,2023-09-09 12:05:00 +0000,4.0
feature_appleStandTime,2023-09-09 11:40:00 +0000,2023-09-09 11:45:00 +0000,2.0
feature_appleStandTime,2023-09-09 11:10:00 +0000,2023-09-09 11:15:00 +0000,3.0
feature_appleStandTime,2023-09-09 11:00:00 +0000,2023-09-09 11:05:00 +0000,2.0
feature_appleStandTime,2023-09-09 10:55:00 +0000,2023-09-09 11:00:00 +0000,3.0
feature_appleStandTime,2023-09-09 10:50:00 +0000,2023-09-09 10:55:00 +0000,1.0
feature_appleStandTime,2023-09-09 10:45:00 +0000,2023-09-09 10:50:00 +0000,5.0
feature_appleStandTime,2023-09-09 10:40:00 +0000,2023-09-09 10:45:00 +0000,5.0
feature_appleStandTime,2023-09-09 10:35:00 +0000,2023-09-09 10:40:00 +0000,5.0
feature_appleStandTime,2023-09-09 10:30:00 +0000,2023-09-09 10:35:00 +0000,5.0
feature_appleStandTime,2023-09-09 10:25:00 +0000,2023-09-09 10:30:00 +0000,4.0
feature_appleStandTime,2023-09-09 10:20:00 +0000,2023-09-09 10:25:00 +0000,5.0
feature_appleStandTime,2023-09-09 10:15:00 +0000,2023-09-09 10:20:00 +0000,4.0
feature_appleStandTime,2023-09-09 10:10:00 +0000,2023-09-09 10:15:00 +0000,3.0
feature_appleStandTime,2023-09-09 10:05:00 +0000,2023-09-09 10:10:00 +0000,3.0
feature_appleStandTime,2023-09-09 10:00:00 +0000,2023-09-09 10:05:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:55:00 +0000,2023-09-09 10:00:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:50:00 +0000,2023-09-09 09:55:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:45:00 +0000,2023-09-09 09:50:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:40:00 +0000,2023-09-09 09:45:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:35:00 +0000,2023-09-09 09:40:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:30:00 +0000,2023-09-09 09:35:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:25:00 +0000,2023-09-09 09:30:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:20:00 +0000,2023-09-09 09:25:00 +0000,4.0
feature_appleStandTime,2023-09-09 09:15:00 +0000,2023-09-09 09:20:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:10:00 +0000,2023-09-09 09:15:00 +0000,5.0
feature_appleStandTime,2023-09-09 09:05:00 +0000,2023-09-09 09:10:00 +0000,4.0
feature_appleStandTime,2023-09-09 09:00:00 +0000,2023-09-09 09:05:00 +0000,4.0
